"c","photoperiod","photo_difference","temperature_difference","flow","flow_difference","lunar_phase","hatchery","logLik","AICc","num.param","num.iter","converged","delta_aicc","deltaAICc","rel.LL","weights","cumulative_weights"
" photo_diff flow lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,1,0,1,1,1,1,-1341.69093537646,2762.4470207012,38,152,TRUE,25.4,25.3962442339607,0,0,1
" flow_diff coho1_hatchery_perhour_interpolate",0,0,0,0,1,0,1,-1352.15623852308,2776.91041519049,35,87,TRUE,39.86,39.8596387232424,0,0,1
" photo_diff temp_diff flow coho1_hatchery_perhour_interpolate",0,1,1,1,0,0,1,-1350.17515092467,2777.25526052702,37,119,TRUE,40.2,40.2044840597732,0,0,1
" photo_diff flow_diff coho1_hatchery_perhour_interpolate",0,1,0,0,1,0,1,-1351.28089412708,2777.31101426036,36,110,TRUE,40.26,40.2602377931144,0,0,1
" photo_diff temp_diff flow",0,1,1,1,0,0,0,-1352.6202901449,2777.83851843413,35,121,TRUE,40.79,40.7877419668866,0,0,1
" flow_diff",0,0,0,0,1,0,0,-1355.03764080596,2778.38392358723,33,76,TRUE,41.33,41.3331471199904,0,0,1
" temp_diff flow",0,0,1,1,0,0,0,-1354.01970098842,2778.49048333626,34,81,TRUE,41.44,41.4397068690178,0,0,1
" photo_diff flow coho1_hatchery_perhour_interpolate",0,1,0,1,0,0,1,-1351.93654020034,2778.62230640686,36,96,TRUE,41.57,41.5715299396184,0,0,1
" flow",0,0,0,1,0,0,0,-1355.24726177833,2778.80316553197,33,87,TRUE,41.75,41.7523890647226,0,0,1
" temp_diff flow_diff coho1_hatchery_perhour_interpolate",0,0,1,0,1,0,1,-1352.06716287411,2778.88355175441,36,89,TRUE,41.83,41.8327752871637,0,0,1
" photo_diff temp_diff flow_diff coho1_hatchery_perhour_interpolate",0,1,1,0,1,0,1,-1350.98935164991,2778.8836619775,37,106,TRUE,41.83,41.8328855102586,0,0,1
" photo_diff temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,1,1,1,0,1,1,-1349.97172190461,2779.0085937575,38,122,TRUE,41.96,41.9578172902607,0,0,1
" lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,0,0,0,1,1,1,-1352.15261241062,2779.05445082744,36,100,TRUE,42,42.0036743601931,0,0,1
" photo_diff lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,1,0,0,1,1,1,-1351.28083273114,2779.46662413997,37,99,TRUE,42.42,42.415847672723,0,0,1
" photo_diff flow",0,1,0,1,0,0,0,-1354.53120979042,2779.51350094027,34,88,TRUE,42.46,42.4627244730286,0,0,1
" temp_diff flow coho1_hatchery_perhour_interpolate",0,0,1,1,0,0,1,-1352.41558523468,2779.58039647555,36,95,TRUE,42.53,42.5296200083021,0,0,1
" flow coho1_hatchery_perhour_interpolate",0,0,0,1,0,0,1,-1353.50259577347,2779.60312969126,35,90,TRUE,42.55,42.5523532240177,0,0,1
" photo_diff temp_diff flow lunar_phase",0,1,1,1,0,1,0,-1352.45488219886,2779.65899040392,36,116,TRUE,42.61,42.6082139366777,0,0,1
" temp_diff flow_diff",0,0,1,0,1,0,0,-1354.86727204386,2780.18562544715,34,81,TRUE,43.13,43.1348489799061,0,0,1
" temp_diff flow lunar_phase",0,0,1,1,0,1,0,-1353.89302106854,2780.3839802814,35,87,TRUE,43.33,43.3332038141571,0,0,1
" photo_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,1,0,1,0,1,1,-1351.77194467956,2780.44884803681,37,119,TRUE,43.4,43.3980715695702,0,0,1
" lunar_phase flow_diff",0,0,0,0,1,1,0,-1355.02984471196,2780.51077078334,34,85,TRUE,43.46,43.4599943160924,0,0,1
" photo_diff flow_diff",0,1,0,0,1,0,0,-1355.031291927,2780.51366521343,34,69,TRUE,43.46,43.4628887461849,0,0,1
" flow lunar_phase",0,0,0,1,0,1,0,-1355.13723093317,2780.72554322576,34,82,TRUE,43.67,43.6747667585182,0,0,1
" temp_diff lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,0,1,0,1,1,1,-1352.06358512128,2781.03212892024,37,102,TRUE,43.98,43.9813524529973,0,0,1
" photo_diff temp_diff lunar_phase flow_diff coho1_hatchery_perhour_interpolate",0,1,1,0,1,1,1,-1350.98906634062,2781.04328262953,38,116,TRUE,43.99,43.9925061622903,0,0,1
" photo_diff flow lunar_phase",0,1,0,1,0,1,0,-1354.40213050288,2781.40219915009,35,88,TRUE,44.35,44.3514226828497,0,0,1
" temp_diff flow lunar_phase coho1_hatchery_perhour_interpolate",0,0,1,1,0,1,1,-1352.28636035959,2781.47767939687,37,103,TRUE,44.43,44.4269029296224,0,0,1
" flow lunar_phase coho1_hatchery_perhour_interpolate",0,0,0,1,0,1,1,-1353.3876245584,2781.524475123,36,104,TRUE,44.47,44.4736986557514,0,0,1
" photo_diff temp_diff flow_diff",0,1,1,0,1,0,0,-1354.83603359815,2782.27000534063,35,84,TRUE,45.22,45.2192288733854,0,0,1
